Category: All categories

Month,Crop top: (United States)
2004-01,3
2004-02,3
2004-03,5
2004-04,3
2004-05,4
2004-06,4
2004-07,4
2004-08,4
2004-09,4
2004-10,5
2004-11,4
2004-12,5
2005-01,4
2005-02,5
2005-03,6
2005-04,6
2005-05,7
2005-06,7
2005-07,6
2005-08,6
2005-09,5
2005-10,5
2005-11,4
2005-12,5
2006-01,4
2006-02,4
2006-03,5
2006-04,5
2006-05,5
2006-06,5
2006-07,5
2006-08,5
2006-09,5
2006-10,4
2006-11,4
2006-12,4
2007-01,4
2007-02,4
2007-03,6
2007-04,6
2007-05,6
2007-06,5
2007-07,5
2007-08,5
2007-09,5
2007-10,5
2007-11,4
2007-12,4
2008-01,4
2008-02,4
2008-03,5
2008-04,6
2008-05,6
2008-06,5
2008-07,5
2008-08,5
2008-09,5
2008-10,5
2008-11,4
2008-12,4
2009-01,4
2009-02,4
2009-03,6
2009-04,6
2009-05,6
2009-06,6
2009-07,6
2009-08,6
2009-09,5
2009-10,5
2009-11,4
2009-12,4
2010-01,4
2010-02,4
2010-03,6
2010-04,7
2010-05,8
2010-06,7
2010-07,7
2010-08,6
2010-09,6
2010-10,6
2010-11,5
2010-12,5
2011-01,7
2011-02,9
2011-03,10
2011-04,13
2011-05,13
2011-06,13
2011-07,13
2011-08,12
2011-09,10
2011-10,10
2011-11,8
2011-12,9
2012-01,9
2012-02,10
2012-03,12
2012-04,13
2012-05,13
2012-06,15
2012-07,15
2012-08,12
2012-09,12
2012-10,12
2012-11,10
2012-12,11
2013-01,12
2013-02,16
2013-03,19
2013-04,20
2013-05,23
2013-06,28
2013-07,30
2013-08,26
2013-09,23
2013-10,24
2013-11,20
2013-12,22
2014-01,26
2014-02,30
2014-03,37
2014-04,42
2014-05,42
2014-06,45
2014-07,40
2014-08,35
2014-09,30
2014-10,32
2014-11,25
2014-12,27
2015-01,29
2015-02,32
2015-03,40
2015-04,40
2015-05,41
2015-06,43
2015-07,43
2015-08,36
2015-09,35
2015-10,36
2015-11,27
2015-12,30
2016-01,34
2016-02,38
2016-03,42
2016-04,49
2016-05,46
2016-06,50
2016-07,46
2016-08,40
2016-09,41
2016-10,41
2016-11,23
2016-12,25
2017-01,27
2017-02,31
2017-03,35
2017-04,38
2017-05,39
2017-06,42
2017-07,41
2017-08,38
2017-09,35
2017-10,39
2017-11,27
2017-12,28
2018-01,31
2018-02,37
2018-03,49
2018-04,48
2018-05,46
2018-06,49
2018-07,53
2018-08,48
2018-09,44
2018-10,42
2018-11,30
2018-12,32
2019-01,33
2019-02,34
2019-03,39
2019-04,41
2019-05,40
2019-06,47
2019-07,53
2019-08,49
2019-09,49
2019-10,51
2019-11,45
2019-12,52
2020-01,53
2020-02,58
2020-03,55
2020-04,65
2020-05,75
2020-06,72
2020-07,71
2020-08,66
2020-09,68
2020-10,72
2020-11,61
2020-12,60
2021-01,60
2021-02,61
2021-03,67
2021-04,71
2021-05,71
2021-06,74
2021-07,78
2021-08,72
2021-09,61
2021-10,80
2021-11,81
2021-12,71
2022-01,69
2022-02,73
2022-03,72
2022-04,67
2022-05,65
2022-06,64
2022-07,66
2022-08,67
2022-09,67
2022-10,75
2022-11,64
2022-12,69
2023-01,61
2023-02,65
2023-03,75
2023-04,75
2023-05,78
2023-06,77
2023-07,77
2023-08,77
2023-09,76
2023-10,83
2023-11,89
2023-12,82
2024-01,75
2024-02,75
2024-03,89
2024-04,90
2024-05,93
2024-06,89
2024-07,87
2024-08,93
2024-09,98
2024-10,100
2024-11,90
2024-12,86
2025-01,77
2025-02,80
2025-03,87
2025-04,85
2025-05,84
2025-06,82
2025-07,84
2025-08,81
2025-09,81
2025-10,82
2025-11,76
