Category: All categories

Month,DVD: (United States)
2004-01,85
2004-02,71
2004-03,67
2004-04,65
2004-05,67
2004-06,74
2004-07,75
2004-08,75
2004-09,72
2004-10,67
2004-11,87
2004-12,100
2005-01,83
2005-02,74
2005-03,67
2005-04,63
2005-05,65
2005-06,67
2005-07,68
2005-08,69
2005-09,59
2005-10,61
2005-11,72
2005-12,93
2006-01,75
2006-02,64
2006-03,60
2006-04,56
2006-05,55
2006-06,57
2006-07,60
2006-08,58
2006-09,54
2006-10,56
2006-11,65
2006-12,78
2007-01,66
2007-02,56
2007-03,52
2007-04,49
2007-05,48
2007-06,50
2007-07,52
2007-08,53
2007-09,49
2007-10,45
2007-11,60
2007-12,67
2008-01,55
2008-02,49
2008-03,46
2008-04,42
2008-05,41
2008-06,42
2008-07,42
2008-08,44
2008-09,39
2008-10,39
2008-11,49
2008-12,62
2009-01,51
2009-02,46
2009-03,45
2009-04,38
2009-05,39
2009-06,41
2009-07,40
2009-08,43
2009-09,38
2009-10,38
2009-11,46
2009-12,51
2010-01,44
2010-02,41
2010-03,38
2010-04,33
2010-05,33
2010-06,38
2010-07,33
2010-08,32
2010-09,31
2010-10,31
2010-11,34
2010-12,40
2011-01,33
2011-02,30
2011-03,29
2011-04,26
2011-05,28
2011-06,27
2011-07,29
2011-08,26
2011-09,26
2011-10,25
2011-11,28
2011-12,30
2012-01,25
2012-02,23
2012-03,21
2012-04,21
2012-05,21
2012-06,23
2012-07,22
2012-08,27
2012-09,22
2012-10,20
2012-11,24
2012-12,26
2013-01,23
2013-02,20
2013-03,21
2013-04,18
2013-05,17
2013-06,18
2013-07,18
2013-08,19
2013-09,19
2013-10,18
2013-11,19
2013-12,23
2014-01,19
2014-02,18
2014-03,19
2014-04,15
2014-05,15
2014-06,16
2014-07,17
2014-08,17
2014-09,15
2014-10,14
2014-11,16
2014-12,19
2015-01,15
2015-02,15
2015-03,13
2015-04,13
2015-05,13
2015-06,12
2015-07,13
2015-08,14
2015-09,13
2015-10,12
2015-11,13
2015-12,16
2016-01,14
2016-02,12
2016-03,13
2016-04,12
2016-05,11
2016-06,12
2016-07,11
2016-08,11
2016-09,11
2016-10,10
2016-11,12
2016-12,13
2017-01,11
2017-02,11
2017-03,11
2017-04,10
2017-05,10
2017-06,10
2017-07,11
2017-08,10
2017-09,10
2017-10,9
2017-11,11
2017-12,12
2018-01,10
2018-02,11
2018-03,11
2018-04,9
2018-05,9
2018-06,9
2018-07,10
2018-08,9
2018-09,9
2018-10,7
2018-11,9
2018-12,10
2019-01,9
2019-02,8
2019-03,8
2019-04,7
2019-05,7
2019-06,8
2019-07,8
2019-08,8
2019-09,7
2019-10,7
2019-11,8
2019-12,9
2020-01,8
2020-02,8
2020-03,6
2020-04,6
2020-05,6
2020-06,6
2020-07,6
2020-08,5
2020-09,5
2020-10,5
2020-11,6
2020-12,7
2021-01,5
2021-02,5
2021-03,5
2021-04,5
2021-05,5
2021-06,5
2021-07,5
2021-08,5
2021-09,5
2021-10,5
2021-11,5
2021-12,5
2022-01,5
2022-02,5
2022-03,5
2022-04,4
2022-05,4
2022-06,4
2022-07,5
2022-08,4
2022-09,4
2022-10,4
2022-11,4
2022-12,5
2023-01,4
2023-02,4
2023-03,4
2023-04,4
2023-05,4
2023-06,4
2023-07,4
2023-08,4
2023-09,4
2023-10,4
2023-11,4
2023-12,5
2024-01,4
2024-02,4
2024-03,4
2024-04,4
2024-05,3
2024-06,4
2024-07,4
2024-08,4
2024-09,4
2024-10,4
2024-11,4
2024-12,4
2025-01,4
2025-02,4
2025-03,4
2025-04,3
2025-05,4
2025-06,4
2025-07,4
2025-08,4
2025-09,4
2025-10,3
2025-11,4
2025-12,4
