Category: All categories

Month,large collar: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,18
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,13
2006-01,0
2006-02,0
2006-03,0
2006-04,13
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,10
2006-11,0
2006-12,12
2007-01,0
2007-02,14
2007-03,8
2007-04,7
2007-05,0
2007-06,10
2007-07,0
2007-08,7
2007-09,7
2007-10,10
2007-11,20
2007-12,7
2008-01,9
2008-02,7
2008-03,10
2008-04,11
2008-05,0
2008-06,13
2008-07,8
2008-08,10
2008-09,11
2008-10,11
2008-11,9
2008-12,14
2009-01,10
2009-02,7
2009-03,12
2009-04,11
2009-05,7
2009-06,13
2009-07,13
2009-08,7
2009-09,11
2009-10,15
2009-11,11
2009-12,14
2010-01,10
2010-02,15
2010-03,12
2010-04,13
2010-05,13
2010-06,15
2010-07,11
2010-08,11
2010-09,11
2010-10,12
2010-11,12
2010-12,15
2011-01,13
2011-02,12
2011-03,11
2011-04,12
2011-05,13
2011-06,13
2011-07,14
2011-08,13
2011-09,16
2011-10,12
2011-11,17
2011-12,19
2012-01,18
2012-02,17
2012-03,15
2012-04,15
2012-05,16
2012-06,12
2012-07,13
2012-08,16
2012-09,16
2012-10,16
2012-11,19
2012-12,18
2013-01,17
2013-02,20
2013-03,18
2013-04,17
2013-05,16
2013-06,16
2013-07,13
2013-08,16
2013-09,15
2013-10,20
2013-11,18
2013-12,22
2014-01,18
2014-02,19
2014-03,18
2014-04,20
2014-05,21
2014-06,18
2014-07,16
2014-08,19
2014-09,18
2014-10,20
2014-11,20
2014-12,20
2015-01,18
2015-02,18
2015-03,22
2015-04,24
2015-05,22
2015-06,22
2015-07,24
2015-08,20
2015-09,19
2015-10,26
2015-11,22
2015-12,28
2016-01,26
2016-02,25
2016-03,26
2016-04,30
2016-05,29
2016-06,29
2016-07,25
2016-08,22
2016-09,27
2016-10,29
2016-11,30
2016-12,32
2017-01,24
2017-02,27
2017-03,32
2017-04,100
2017-05,80
2017-06,71
2017-07,86
2017-08,51
2017-09,63
2017-10,77
2017-11,81
2017-12,74
2018-01,64
2018-02,72
2018-03,47
2018-04,42
2018-05,47
2018-06,37
2018-07,38
2018-08,34
2018-09,34
2018-10,38
2018-11,38
2018-12,39
2019-01,33
2019-02,34
2019-03,48
2019-04,55
2019-05,45
2019-06,44
2019-07,35
2019-08,33
2019-09,34
2019-10,40
2019-11,41
2019-12,41
2020-01,33
2020-02,38
2020-03,42
2020-04,56
2020-05,54
2020-06,49
2020-07,42
2020-08,35
2020-09,40
2020-10,44
2020-11,59
2020-12,46
2021-01,41
2021-02,35
2021-03,52
2021-04,52
2021-05,42
2021-06,41
2021-07,43
2021-08,42
2021-09,43
2021-10,49
2021-11,68
2021-12,54
2022-01,44
2022-02,52
2022-03,59
2022-04,56
2022-05,54
2022-06,46
2022-07,44
2022-08,44
2022-09,42
2022-10,50
2022-11,61
2022-12,56
2023-01,47
2023-02,54
2023-03,54
2023-04,57
2023-05,52
2023-06,44
2023-07,44
2023-08,41
2023-09,43
2023-10,52
2023-11,72
2023-12,60
2024-01,45
2024-02,47
2024-03,50
2024-04,47
2024-05,48
2024-06,46
2024-07,43
2024-08,41
2024-09,48
2024-10,57
2024-11,68
2024-12,64
2025-01,44
2025-02,50
2025-03,57
2025-04,58
2025-05,56
2025-06,51
2025-07,59
2025-08,51
2025-09,53
2025-10,60
2025-11,76
