Category: All categories

Month,Loafer: (United States)
2004-01,9
2004-02,8
2004-03,10
2004-04,8
2004-05,9
2004-06,9
2004-07,9
2004-08,10
2004-09,10
2004-10,10
2004-11,11
2004-12,13
2005-01,10
2005-02,10
2005-03,11
2005-04,12
2005-05,11
2005-06,11
2005-07,10
2005-08,12
2005-09,11
2005-10,12
2005-11,12
2005-12,12
2006-01,11
2006-02,11
2006-03,12
2006-04,11
2006-05,10
2006-06,11
2006-07,11
2006-08,13
2006-09,13
2006-10,13
2006-11,12
2006-12,14
2007-01,11
2007-02,11
2007-03,13
2007-04,12
2007-05,11
2007-06,12
2007-07,12
2007-08,13
2007-09,13
2007-10,13
2007-11,13
2007-12,15
2008-01,12
2008-02,12
2008-03,13
2008-04,12
2008-05,12
2008-06,12
2008-07,13
2008-08,15
2008-09,13
2008-10,14
2008-11,13
2008-12,16
2009-01,12
2009-02,13
2009-03,13
2009-04,13
2009-05,12
2009-06,13
2009-07,13
2009-08,14
2009-09,13
2009-10,15
2009-11,15
2009-12,15
2010-01,12
2010-02,13
2010-03,15
2010-04,14
2010-05,13
2010-06,13
2010-07,12
2010-08,13
2010-09,14
2010-10,15
2010-11,15
2010-12,16
2011-01,12
2011-02,14
2011-03,15
2011-04,16
2011-05,16
2011-06,17
2011-07,16
2011-08,21
2011-09,21
2011-10,20
2011-11,22
2011-12,23
2012-01,21
2012-02,21
2012-03,22
2012-04,23
2012-05,22
2012-06,22
2012-07,23
2012-08,27
2012-09,26
2012-10,24
2012-11,24
2012-12,27
2013-01,22
2013-02,22
2013-03,25
2013-04,26
2013-05,25
2013-06,24
2013-07,24
2013-08,28
2013-09,26
2013-10,25
2013-11,25
2013-12,28
2014-01,22
2014-02,24
2014-03,27
2014-04,31
2014-05,30
2014-06,28
2014-07,26
2014-08,30
2014-09,29
2014-10,28
2014-11,30
2014-12,30
2015-01,25
2015-02,24
2015-03,31
2015-04,34
2015-05,32
2015-06,29
2015-07,31
2015-08,32
2015-09,30
2015-10,31
2015-11,31
2015-12,36
2016-01,32
2016-02,36
2016-03,44
2016-04,44
2016-05,46
2016-06,39
2016-07,37
2016-08,39
2016-09,43
2016-10,42
2016-11,42
2016-12,44
2017-01,39
2017-02,44
2017-03,48
2017-04,58
2017-05,58
2017-06,54
2017-07,51
2017-08,59
2017-09,64
2017-10,72
2017-11,75
2017-12,70
2018-01,57
2018-02,69
2018-03,88
2018-04,100
2018-05,87
2018-06,80
2018-07,88
2018-08,84
2018-09,40
2018-10,22
2018-11,41
2018-12,50
2019-01,39
2019-02,43
2019-03,44
2019-04,48
2019-05,42
2019-06,35
2019-07,31
2019-08,31
2019-09,28
2019-10,33
2019-11,33
2019-12,34
2020-01,37
2020-02,40
2020-03,33
2020-04,29
2020-05,35
2020-06,39
2020-07,40
2020-08,41
2020-09,44
2020-10,52
2020-11,50
2020-12,50
2021-01,45
2021-02,45
2021-03,59
2021-04,63
2021-05,61
2021-06,56
2021-07,58
2021-08,62
2021-09,69
2021-10,60
2021-11,58
2021-12,56
2022-01,43
2022-02,47
2022-03,54
2022-04,56
2022-05,55
2022-06,47
2022-07,55
2022-08,66
2022-09,73
2022-10,74
2022-11,68
2022-12,60
2023-01,52
2023-02,52
2023-03,56
2023-04,58
2023-05,56
2023-06,51
2023-07,50
2023-08,58
2023-09,71
2023-10,70
2023-11,74
2023-12,66
2024-01,55
2024-02,58
2024-03,63
2024-04,67
2024-05,64
2024-06,54
2024-07,51
2024-08,60
2024-09,76
2024-10,83
2024-11,77
2024-12,78
2025-01,61
2025-02,67
2025-03,70
2025-04,69
2025-05,70
2025-06,63
2025-07,67
2025-08,80
2025-09,82
2025-10,85
2025-11,87
