Category: All categories

Month,Low-rise pants: (United States)
2004-01,66
2004-02,75
2004-03,75
2004-04,100
2004-05,79
2004-06,61
2004-07,78
2004-08,76
2004-09,65
2004-10,73
2004-11,79
2004-12,72
2005-01,65
2005-02,79
2005-03,63
2005-04,55
2005-05,57
2005-06,51
2005-07,52
2005-08,73
2005-09,54
2005-10,51
2005-11,65
2005-12,57
2006-01,52
2006-02,52
2006-03,48
2006-04,41
2006-05,42
2006-06,37
2006-07,37
2006-08,42
2006-09,42
2006-10,42
2006-11,41
2006-12,44
2007-01,40
2007-02,39
2007-03,33
2007-04,32
2007-05,32
2007-06,32
2007-07,33
2007-08,32
2007-09,34
2007-10,35
2007-11,32
2007-12,41
2008-01,34
2008-02,33
2008-03,28
2008-04,32
2008-05,30
2008-06,28
2008-07,29
2008-08,30
2008-09,31
2008-10,28
2008-11,33
2008-12,35
2009-01,32
2009-02,28
2009-03,26
2009-04,27
2009-05,25
2009-06,27
2009-07,24
2009-08,28
2009-09,26
2009-10,25
2009-11,30
2009-12,31
2010-01,27
2010-02,23
2010-03,26
2010-04,25
2010-05,22
2010-06,20
2010-07,22
2010-08,22
2010-09,23
2010-10,21
2010-11,23
2010-12,23
2011-01,26
2011-02,24
2011-03,20
2011-04,22
2011-05,21
2011-06,19
2011-07,19
2011-08,21
2011-09,22
2011-10,22
2011-11,23
2011-12,26
2012-01,23
2012-02,22
2012-03,21
2012-04,21
2012-05,20
2012-06,18
2012-07,19
2012-08,21
2012-09,21
2012-10,21
2012-11,21
2012-12,21
2013-01,19
2013-02,19
2013-03,20
2013-04,20
2013-05,17
2013-06,16
2013-07,16
2013-08,19
2013-09,18
2013-10,21
2013-11,19
2013-12,21
2014-01,20
2014-02,20
2014-03,20
2014-04,17
2014-05,17
2014-06,17
2014-07,16
2014-08,19
2014-09,18
2014-10,18
2014-11,21
2014-12,20
2015-01,20
2015-02,19
2015-03,18
2015-04,19
2015-05,17
2015-06,16
2015-07,17
2015-08,20
2015-09,18
2015-10,20
2015-11,20
2015-12,19
2016-01,21
2016-02,22
2016-03,21
2016-04,20
2016-05,18
2016-06,16
2016-07,18
2016-08,22
2016-09,21
2016-10,24
2016-11,39
2016-12,42
2017-01,29
2017-02,43
2017-03,27
2017-04,13
2017-05,13
2017-06,11
2017-07,13
2017-08,15
2017-09,15
2017-10,15
2017-11,16
2017-12,15
2018-01,15
2018-02,22
2018-03,47
2018-04,37
2018-05,44
2018-06,43
2018-07,44
2018-08,44
2018-09,43
2018-10,42
2018-11,45
2018-12,52
2019-01,48
2019-02,41
2019-03,54
2019-04,44
2019-05,40
2019-06,42
2019-07,42
2019-08,42
2019-09,40
2019-10,48
2019-11,52
2019-12,49
2020-01,46
2020-02,46
2020-03,36
2020-04,41
2020-05,50
2020-06,42
2020-07,44
2020-08,47
2020-09,51
2020-10,52
2020-11,47
2020-12,44
2021-01,54
2021-02,57
2021-03,52
2021-04,57
2021-05,54
2021-06,47
2021-07,54
2021-08,56
2021-09,52
2021-10,43
2021-11,45
2021-12,43
2022-01,47
2022-02,49
2022-03,48
2022-04,47
2022-05,45
2022-06,38
2022-07,53
2022-08,51
2022-09,50
2022-10,45
2022-11,47
2022-12,44
2023-01,49
2023-02,48
2023-03,48
2023-04,46
2023-05,41
2023-06,44
2023-07,44
2023-08,56
2023-09,48
2023-10,61
2023-11,75
2023-12,68
2024-01,62
2024-02,75
2024-03,65
2024-04,59
2024-05,42
2024-06,39
2024-07,57
2024-08,69
2024-09,64
2024-10,56
2024-11,63
2024-12,63
2025-01,53
2025-02,56
2025-03,54
2025-04,51
2025-05,96
2025-06,45
2025-07,57
2025-08,60
2025-09,50
2025-10,56
2025-11,64
