Category: All categories

Month,reboot: (United States)
2004-01,44
2004-02,43
2004-03,39
2004-04,44
2004-05,46
2004-06,51
2004-07,47
2004-08,49
2004-09,41
2004-10,41
2004-11,38
2004-12,43
2005-01,42
2005-02,38
2005-03,39
2005-04,38
2005-05,36
2005-06,42
2005-07,40
2005-08,45
2005-09,37
2005-10,37
2005-11,35
2005-12,36
2006-01,38
2006-02,34
2006-03,33
2006-04,32
2006-05,31
2006-06,36
2006-07,34
2006-08,35
2006-09,32
2006-10,32
2006-11,30
2006-12,32
2007-01,33
2007-02,32
2007-03,31
2007-04,30
2007-05,30
2007-06,33
2007-07,33
2007-08,31
2007-09,29
2007-10,29
2007-11,28
2007-12,31
2008-01,31
2008-02,29
2008-03,31
2008-04,27
2008-05,33
2008-06,33
2008-07,31
2008-08,32
2008-09,29
2008-10,31
2008-11,32
2008-12,33
2009-01,30
2009-02,33
2009-03,31
2009-04,35
2009-05,30
2009-06,32
2009-07,37
2009-08,35
2009-09,33
2009-10,33
2009-11,31
2009-12,38
2010-01,38
2010-02,39
2010-03,37
2010-04,36
2010-05,37
2010-06,40
2010-07,37
2010-08,39
2010-09,37
2010-10,36
2010-11,35
2010-12,42
2011-01,48
2011-02,43
2011-03,44
2011-04,42
2011-05,43
2011-06,52
2011-07,55
2011-08,53
2011-09,49
2011-10,46
2011-11,43
2011-12,45
2012-01,48
2012-02,42
2012-03,42
2012-04,40
2012-05,42
2012-06,44
2012-07,54
2012-08,46
2012-09,42
2012-10,38
2012-11,38
2012-12,39
2013-01,42
2013-02,38
2013-03,39
2013-04,39
2013-05,43
2013-06,43
2013-07,43
2013-08,44
2013-09,39
2013-10,39
2013-11,43
2013-12,44
2014-01,45
2014-02,46
2014-03,43
2014-04,42
2014-05,44
2014-06,46
2014-07,46
2014-08,46
2014-09,41
2014-10,43
2014-11,40
2014-12,43
2015-01,46
2015-02,50
2015-03,45
2015-04,44
2015-05,45
2015-06,47
2015-07,50
2015-08,52
2015-09,44
2015-10,42
2015-11,40
2015-12,48
2016-01,46
2016-02,40
2016-03,44
2016-04,42
2016-05,43
2016-06,43
2016-07,45
2016-08,42
2016-09,46
2016-10,40
2016-11,37
2016-12,42
2017-01,43
2017-02,38
2017-03,42
2017-04,38
2017-05,44
2017-06,41
2017-07,44
2017-08,43
2017-09,41
2017-10,41
2017-11,40
2017-12,44
2018-01,48
2018-02,51
2018-03,69
2018-04,57
2018-05,72
2018-06,58
2018-07,63
2018-08,57
2018-09,51
2018-10,58
2018-11,55
2018-12,47
2019-01,49
2019-02,48
2019-03,50
2019-04,46
2019-05,53
2019-06,56
2019-07,66
2019-08,75
2019-09,58
2019-10,64
2019-11,54
2019-12,50
2020-01,58
2020-02,52
2020-03,49
2020-04,53
2020-05,52
2020-06,47
2020-07,50
2020-08,51
2020-09,47
2020-10,51
2020-11,58
2020-12,72
2021-01,61
2021-02,64
2021-03,54
2021-04,54
2021-05,57
2021-06,100
2021-07,83
2021-08,62
2021-09,53
2021-10,46
2021-11,50
2021-12,64
2022-01,64
2022-02,64
2022-03,53
2022-04,52
2022-05,51
2022-06,52
2022-07,57
2022-08,56
2022-09,66
2022-10,62
2022-11,54
2022-12,54
2023-01,61
2023-02,54
2023-03,48
2023-04,52
2023-05,47
2023-06,56
2023-07,54
2023-08,54
2023-09,59
2023-10,61
2023-11,49
2023-12,50
2024-01,57
2024-02,42
2024-03,49
2024-04,47
2024-05,50
2024-06,50
2024-07,48
2024-08,45
2024-09,45
2024-10,47
2024-11,45
2024-12,44
2025-01,48
2025-02,48
2025-03,44
2025-04,45
2025-05,49
2025-06,52
2025-07,63
2025-08,57
2025-09,45
2025-10,46
2025-11,45
2025-12,45
