Month,Remake
2004-01,18
2004-02,19
2004-03,21
2004-04,18
2004-05,17
2004-06,14
2004-07,19
2004-08,18
2004-09,18
2004-10,19
2004-11,20
2004-12,21
2005-01,20
2005-02,21
2005-03,19
2005-04,21
2005-05,21
2005-06,22
2005-07,25
2005-08,19
2005-09,17
2005-10,21
2005-11,20
2005-12,20
2006-01,19
2006-02,20
2006-03,17
2006-04,18
2006-05,17
2006-06,18
2006-07,19
2006-08,19
2006-09,19
2006-10,22
2006-11,17
2006-12,18
2007-01,16
2007-02,17
2007-03,18
2007-04,18
2007-05,16
2007-06,18
2007-07,20
2007-08,23
2007-09,21
2007-10,21
2007-11,19
2007-12,24
2008-01,20
2008-02,20
2008-03,21
2008-04,21
2008-05,21
2008-06,23
2008-07,24
2008-08,24
2008-09,22
2008-10,26
2008-11,27
2008-12,27
2009-01,28
2009-02,32
2009-03,33
2009-04,33
2009-05,34
2009-06,36
2009-07,34
2009-08,37
2009-09,35
2009-10,40
2009-11,40
2009-12,33
2010-01,36
2010-02,38
2010-03,41
2010-04,39
2010-05,38
2010-06,37
2010-07,38
2010-08,37
2010-09,35
2010-10,39
2010-11,36
2010-12,35
2011-01,37
2011-02,38
2011-03,34
2011-04,38
2011-05,37
2011-06,33
2011-07,40
2011-08,59
2011-09,49
2011-10,53
2011-11,39
2011-12,36
2012-01,40
2012-02,38
2012-03,34
2012-04,37
2012-05,36
2012-06,38
2012-07,49
2012-08,42
2012-09,47
2012-10,48
2012-11,36
2012-12,37
2013-01,33
2013-02,29
2013-03,31
2013-04,35
2013-05,30
2013-06,33
2013-07,36
2013-08,34
2013-09,36
2013-10,41
2013-11,37
2013-12,41
2014-01,43
2014-02,39
2014-03,37
2014-04,35
2014-05,40
2014-06,35
2014-07,34
2014-08,33
2014-09,28
2014-10,33
2014-11,30
2014-12,31
2015-01,30
2015-02,32
2015-03,35
2015-04,32
2015-05,42
2015-06,43
2015-07,38
2015-08,39
2015-09,44
2015-10,36
2015-11,33
2015-12,39
2016-01,43
2016-02,39
2016-03,38
2016-04,38
2016-05,45
2016-06,41
2016-07,44
2016-08,50
2016-09,49
2016-10,64
2016-11,60
2016-12,73
2017-01,90
2017-02,78
2017-03,97
2017-04,94
2017-05,100
2017-06,78
2017-07,85
2017-08,72
2017-09,83
2017-10,79
2017-11,60
2017-12,61
2018-01,66
2018-02,63
2018-03,67
2018-04,56
2018-05,63
2018-06,69
2018-07,69
2018-08,54
2018-09,41
2018-10,57
2018-11,58
2018-12,59
2019-01,61
2019-02,59
2019-03,50
2019-04,51
2019-05,95
2019-06,74
2019-07,96
2019-08,77
2019-09,65
2019-10,63
2019-11,58
2019-12,56
2020-01,51
2020-02,50
2020-03,46
2020-04,50
2020-05,55
2020-06,48
2020-07,46
2020-08,47
2020-09,51
2020-10,50
2020-11,43
2020-12,44
2021-01,42
2021-02,41
2021-03,31
2021-04,33
2021-05,33
2021-06,37
2021-07,39
2021-08,41
2021-09,41
2021-10,38
2021-11,34
2021-12,34
2022-01,39
2022-02,38
2022-03,34
2022-04,36
2022-05,34
2022-06,43
2022-07,40
2022-08,50
2022-09,52
2022-10,54
2022-11,38
2022-12,41
2023-01,50
2023-02,43
2023-03,61
2023-04,71
2023-05,90
2023-06,78
2023-07,73
2023-08,61
2023-09,66
2023-10,68
2023-11,62
2023-12,67
2024-01,69
2024-02,66
2024-03,82
2024-04,70
2024-05,85
2024-06,73
2024-07,74
2024-08,79
2024-09,69
2024-10,72
2024-11,70
2024-12,66
2025-01,52
2025-02,51
2025-03,58
2025-04,59
2025-05,56
2025-06,59
2025-07,60
2025-08,53
2025-09,45
2025-10,53
2025-11,55
2025-12,45
