Category: All categories

Month,Cassette tape: (United States)
2004-01,92
2004-02,74
2004-03,82
2004-04,71
2004-05,82
2004-06,79
2004-07,85
2004-08,80
2004-09,76
2004-10,71
2004-11,78
2004-12,100
2005-01,81
2005-02,78
2005-03,71
2005-04,65
2005-05,70
2005-06,69
2005-07,71
2005-08,70
2005-09,63
2005-10,61
2005-11,68
2005-12,78
2006-01,68
2006-02,60
2006-03,57
2006-04,55
2006-05,53
2006-06,55
2006-07,54
2006-08,57
2006-09,53
2006-10,52
2006-11,56
2006-12,63
2007-01,55
2007-02,49
2007-03,46
2007-04,46
2007-05,45
2007-06,47
2007-07,51
2007-08,48
2007-09,48
2007-10,45
2007-11,50
2007-12,57
2008-01,47
2008-02,41
2008-03,41
2008-04,41
2008-05,43
2008-06,46
2008-07,41
2008-08,47
2008-09,38
2008-10,35
2008-11,44
2008-12,48
2009-01,40
2009-02,42
2009-03,38
2009-04,34
2009-05,38
2009-06,42
2009-07,37
2009-08,37
2009-09,36
2009-10,36
2009-11,38
2009-12,43
2010-01,38
2010-02,34
2010-03,34
2010-04,36
2010-05,39
2010-06,33
2010-07,31
2010-08,30
2010-09,29
2010-10,39
2010-11,32
2010-12,35
2011-01,33
2011-02,33
2011-03,31
2011-04,29
2011-05,32
2011-06,33
2011-07,33
2011-08,34
2011-09,30
2011-10,33
2011-11,34
2011-12,39
2012-01,36
2012-02,32
2012-03,32
2012-04,32
2012-05,33
2012-06,31
2012-07,32
2012-08,33
2012-09,31
2012-10,29
2012-11,31
2012-12,33
2013-01,31
2013-02,29
2013-03,30
2013-04,30
2013-05,30
2013-06,30
2013-07,29
2013-08,31
2013-09,29
2013-10,27
2013-11,28
2013-12,32
2014-01,29
2014-02,32
2014-03,30
2014-04,30
2014-05,32
2014-06,30
2014-07,29
2014-08,32
2014-09,30
2014-10,28
2014-11,31
2014-12,35
2015-01,30
2015-02,28
2015-03,30
2015-04,32
2015-05,29
2015-06,28
2015-07,31
2015-08,32
2015-09,38
2015-10,31
2015-11,30
2015-12,35
2016-01,31
2016-02,32
2016-03,31
2016-04,31
2016-05,31
2016-06,32
2016-07,31
2016-08,32
2016-09,30
2016-10,28
2016-11,44
2016-12,47
2017-01,49
2017-02,49
2017-03,50
2017-04,69
2017-05,74
2017-06,59
2017-07,55
2017-08,55
2017-09,46
2017-10,50
2017-11,46
2017-12,48
2018-01,48
2018-02,47
2018-03,44
2018-04,42
2018-05,44
2018-06,45
2018-07,45
2018-08,37
2018-09,29
2018-10,32
2018-11,37
2018-12,41
2019-01,39
2019-02,39
2019-03,39
2019-04,38
2019-05,40
2019-06,42
2019-07,47
2019-08,44
2019-09,43
2019-10,43
2019-11,41
2019-12,45
2020-01,42
2020-02,38
2020-03,33
2020-04,40
2020-05,42
2020-06,41
2020-07,42
2020-08,42
2020-09,38
2020-10,39
2020-11,38
2020-12,45
2021-01,43
2021-02,41
2021-03,40
2021-04,36
2021-05,38
2021-06,38
2021-07,37
2021-08,36
2021-09,33
2021-10,33
2021-11,36
2021-12,39
2022-01,43
2022-02,42
2022-03,44
2022-04,43
2022-05,39
2022-06,50
2022-07,51
2022-08,48
2022-09,43
2022-10,43
2022-11,42
2022-12,44
2023-01,46
2023-02,45
2023-03,43
2023-04,41
2023-05,47
2023-06,46
2023-07,45
2023-08,41
2023-09,41
2023-10,39
2023-11,45
2023-12,45
2024-01,42
2024-02,43
2024-03,44
2024-04,43
2024-05,42
2024-06,40
2024-07,42
2024-08,42
2024-09,41
2024-10,41
2024-11,44
2024-12,45
2025-01,44
2025-02,42
2025-03,43
2025-04,44
2025-05,45
2025-06,44
2025-07,52
2025-08,51
2025-09,44
2025-10,42
2025-11,50
2025-12,53
