Category: All categories

Month,Typewriter: (United States)
2004-01,66
2004-02,64
2004-03,59
2004-04,59
2004-05,50
2004-06,50
2004-07,51
2004-08,54
2004-09,100
2004-10,57
2004-11,55
2004-12,53
2005-01,58
2005-02,61
2005-03,50
2005-04,54
2005-05,46
2005-06,49
2005-07,43
2005-08,43
2005-09,47
2005-10,50
2005-11,50
2005-12,46
2006-01,51
2006-02,53
2006-03,50
2006-04,45
2006-05,43
2006-06,41
2006-07,37
2006-08,41
2006-09,43
2006-10,42
2006-11,43
2006-12,40
2007-01,45
2007-02,43
2007-03,41
2007-04,40
2007-05,37
2007-06,36
2007-07,37
2007-08,38
2007-09,43
2007-10,42
2007-11,41
2007-12,39
2008-01,40
2008-02,43
2008-03,40
2008-04,39
2008-05,38
2008-06,34
2008-07,36
2008-08,35
2008-09,43
2008-10,44
2008-11,40
2008-12,40
2009-01,44
2009-02,42
2009-03,41
2009-04,40
2009-05,38
2009-06,37
2009-07,37
2009-08,38
2009-09,42
2009-10,43
2009-11,39
2009-12,44
2010-01,44
2010-02,43
2010-03,43
2010-04,39
2010-05,39
2010-06,36
2010-07,34
2010-08,34
2010-09,38
2010-10,36
2010-11,38
2010-12,37
2011-01,39
2011-02,41
2011-03,38
2011-04,44
2011-05,41
2011-06,38
2011-07,39
2011-08,38
2011-09,41
2011-10,39
2011-11,37
2011-12,40
2012-01,43
2012-02,44
2012-03,39
2012-04,38
2012-05,38
2012-06,39
2012-07,41
2012-08,41
2012-09,45
2012-10,42
2012-11,42
2012-12,41
2013-01,44
2013-02,44
2013-03,53
2013-04,44
2013-05,43
2013-06,39
2013-07,39
2013-08,41
2013-09,42
2013-10,41
2013-11,45
2013-12,42
2014-01,42
2014-02,44
2014-03,40
2014-04,40
2014-05,41
2014-06,35
2014-07,35
2014-08,40
2014-09,48
2014-10,44
2014-11,39
2014-12,45
2015-01,43
2015-02,41
2015-03,44
2015-04,41
2015-05,39
2015-06,34
2015-07,35
2015-08,40
2015-09,39
2015-10,35
2015-11,41
2015-12,41
2016-01,44
2016-02,43
2016-03,39
2016-04,38
2016-05,37
2016-06,32
2016-07,31
2016-08,34
2016-09,42
2016-10,42
2016-11,40
2016-12,42
2017-01,42
2017-02,42
2017-03,42
2017-04,44
2017-05,42
2017-06,42
2017-07,37
2017-08,37
2017-09,46
2017-10,45
2017-11,45
2017-12,47
2018-01,43
2018-02,48
2018-03,42
2018-04,45
2018-05,40
2018-06,37
2018-07,39
2018-08,40
2018-09,42
2018-10,39
2018-11,42
2018-12,45
2019-01,45
2019-02,45
2019-03,41
2019-04,37
2019-05,36
2019-06,37
2019-07,75
2019-08,53
2019-09,44
2019-10,42
2019-11,41
2019-12,41
2020-01,41
2020-02,40
2020-03,38
2020-04,41
2020-05,40
2020-06,36
2020-07,38
2020-08,40
2020-09,37
2020-10,37
2020-11,34
2020-12,37
2021-01,40
2021-02,35
2021-03,36
2021-04,35
2021-05,36
2021-06,41
2021-07,35
2021-08,33
2021-09,30
2021-10,31
2021-11,33
2021-12,38
2022-01,42
2022-02,41
2022-03,39
2022-04,42
2022-05,40
2022-06,37
2022-07,37
2022-08,37
2022-09,36
2022-10,39
2022-11,42
2022-12,48
2023-01,49
2023-02,43
2023-03,41
2023-04,41
2023-05,36
2023-06,35
2023-07,36
2023-08,35
2023-09,38
2023-10,36
2023-11,41
2023-12,43
2024-01,44
2024-02,41
2024-03,36
2024-04,40
2024-05,39
2024-06,31
2024-07,29
2024-08,33
2024-09,36
2024-10,40
2024-11,40
2024-12,45
2025-01,44
2025-02,38
2025-03,37
2025-04,41
2025-05,32
2025-06,32
2025-07,36
2025-08,38
2025-09,39
2025-10,38
2025-11,40
2025-12,44
