Category: All categories

Month,vinyl: (United States)
2004-01,42
2004-02,40
2004-03,47
2004-04,47
2004-05,52
2004-06,55
2004-07,52
2004-08,52
2004-09,50
2004-10,41
2004-11,35
2004-12,36
2005-01,38
2005-02,40
2005-03,45
2005-04,49
2005-05,49
2005-06,50
2005-07,48
2005-08,46
2005-09,43
2005-10,42
2005-11,36
2005-12,31
2006-01,38
2006-02,37
2006-03,42
2006-04,44
2006-05,44
2006-06,43
2006-07,45
2006-08,47
2006-09,38
2006-10,38
2006-11,33
2006-12,34
2007-01,35
2007-02,34
2007-03,39
2007-04,41
2007-05,44
2007-06,43
2007-07,44
2007-08,39
2007-09,38
2007-10,36
2007-11,32
2007-12,30
2008-01,33
2008-02,33
2008-03,36
2008-04,40
2008-05,41
2008-06,41
2008-07,41
2008-08,38
2008-09,35
2008-10,33
2008-11,32
2008-12,31
2009-01,33
2009-02,32
2009-03,35
2009-04,37
2009-05,42
2009-06,39
2009-07,38
2009-08,38
2009-09,35
2009-10,35
2009-11,32
2009-12,31
2010-01,32
2010-02,31
2010-03,36
2010-04,40
2010-05,39
2010-06,39
2010-07,33
2010-08,32
2010-09,32
2010-10,29
2010-11,29
2010-12,27
2011-01,32
2011-02,31
2011-03,37
2011-04,37
2011-05,39
2011-06,39
2011-07,39
2011-08,37
2011-09,36
2011-10,34
2011-11,32
2011-12,32
2012-01,33
2012-02,36
2012-03,38
2012-04,40
2012-05,42
2012-06,41
2012-07,40
2012-08,41
2012-09,37
2012-10,33
2012-11,35
2012-12,36
2013-01,35
2013-02,37
2013-03,39
2013-04,45
2013-05,42
2013-06,43
2013-07,44
2013-08,46
2013-09,39
2013-10,37
2013-11,37
2013-12,37
2014-01,38
2014-02,39
2014-03,39
2014-04,46
2014-05,47
2014-06,48
2014-07,48
2014-08,47
2014-09,42
2014-10,41
2014-11,42
2014-12,46
2015-01,44
2015-02,42
2015-03,47
2015-04,51
2015-05,51
2015-06,50
2015-07,53
2015-08,53
2015-09,49
2015-10,46
2015-11,44
2015-12,54
2016-01,51
2016-02,69
2016-03,67
2016-04,73
2016-05,58
2016-06,61
2016-07,59
2016-08,58
2016-09,52
2016-10,51
2016-11,55
2016-12,62
2017-01,58
2017-02,57
2017-03,60
2017-04,65
2017-05,65
2017-06,63
2017-07,66
2017-08,64
2017-09,59
2017-10,59
2017-11,62
2017-12,70
2018-01,61
2018-02,61
2018-03,65
2018-04,67
2018-05,68
2018-06,68
2018-07,70
2018-08,68
2018-09,64
2018-10,63
2018-11,62
2018-12,70
2019-01,60
2019-02,60
2019-03,67
2019-04,69
2019-05,71
2019-06,71
2019-07,73
2019-08,76
2019-09,68
2019-10,65
2019-11,68
2019-12,75
2020-01,67
2020-02,72
2020-03,61
2020-04,78
2020-05,95
2020-06,100
2020-07,92
2020-08,95
2020-09,83
2020-10,82
2020-11,81
2020-12,97
2021-01,90
2021-02,87
2021-03,91
2021-04,95
2021-05,94
2021-06,91
2021-07,89
2021-08,86
2021-09,80
2021-10,79
2021-11,80
2021-12,96
2022-01,89
2022-02,96
2022-03,90
2022-04,93
2022-05,86
2022-06,87
2022-07,88
2022-08,87
2022-09,76
2022-10,81
2022-11,78
2022-12,87
2023-01,79
2023-02,90
2023-03,83
2023-04,81
2023-05,82
2023-06,81
2023-07,85
2023-08,77
2023-09,75
2023-10,72
2023-11,80
2023-12,89
2024-01,75
2024-02,77
2024-03,75
2024-04,83
2024-05,75
2024-06,81
2024-07,77
2024-08,75
2024-09,73
2024-10,65
2024-11,81
2024-12,94
2025-01,76
2025-02,75
2025-03,77
2025-04,80
2025-05,77
2025-06,89
2025-07,88
2025-08,83
2025-09,77
2025-10,76
2025-11,84
2025-12,86
